file_1,file_2,samples,group,generation,ch_type
test_sample/carmela/Amostra1_L001-ds.02543b3c5d4a40ce81247b69a211d38d/Amostra1_S1_L001_R1_001.fastq,test_sample/carmela/Amostra1_L001-ds.02543b3c5d4a40ce81247b69a211d38d/Amostra1_S1_L001_R2_001.fastq,Amostra1_illu_VH,R0,second,VH
test_sample/carmela/Amostra2_L001-ds.c1a63e3282bb400ebff41dd5d7c72a2e/Amostra2_S2_L001_R1_001.fastq,test_sample/carmela/Amostra2_L001-ds.c1a63e3282bb400ebff41dd5d7c72a2e/Amostra2_S2_L001_R2_001.fastq,Amostra2_illu_VH,R0,second,VH
test_sample/carmela/Amostra3_L001-ds.9df8de8a048c4a71b561d2dc9e50419e/Amostra3_S3_L001_R1_001.fastq,test_sample/carmela/Amostra3_L001-ds.9df8de8a048c4a71b561d2dc9e50419e/Amostra3_S3_L001_R2_001.fastq,Amostra3_illu_VH,R0,second,VH
test_sample/carmela/Amostra4_L001-ds.680d172f283341ad86225eb2e64339ef/Amostra4_S4_L001_R1_001.fastq,test_sample/carmela/Amostra4_L001-ds.680d172f283341ad86225eb2e64339ef/Amostra4_S4_L001_R2_001.fastq,Amostra4_illu_VL,R0,second,VL
test_sample/carmela/Amostra5_L001-ds.c2f4767699bd442ba6b6150e08574ebf/Amostra5_S5_L001_R1_001.fastq,test_sample/carmela/Amostra5_L001-ds.c2f4767699bd442ba6b6150e08574ebf/Amostra5_S5_L001_R2_001.fastq,Amostra5_illu_VH,R0,second,VH
test_sample/carmela/Amostra6_L001-ds.222f0d7945534d42947c42a0722f8786/Amostra6_S6_L001_R1_001.fastq,test_sample/carmela/Amostra6_L001-ds.222f0d7945534d42947c42a0722f8786/Amostra6_S6_L001_R2_001.fastq,Amostra6_illu_VH,R0,second,VH
